name,spouse,parents,siblings,relatives,ancestors,Born,died,abilities,Bonded_with,titles,aliases,profession,groups,skills,species,residence,birthplace,religion,ethnicity,nationality,world,universe,featured_in
Hesina , Spouse<->Lirin, Children<->Kaladin/ Tien/ Oroden, Relatives<->Aesudan/[1] Gavinor, Born<->1133[2], Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,
Hid , Profession<->Guardsman, Groups<->Kholinar Wall Guard, Residence<->Kholinar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Ialai Sadeas , Spouse<->Torol Sadeas, Died<->Early 1175[1], Groups<->Sons of Honor, Residence<->The Alethi warcamps/ formerly Kholinar and Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Idani , Relatives<->The Khal family, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Idrin , Profession<->King's Guard, Groups<->Kholin army/ King's Guard, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Ilamar , Died<->Battle of the Tower[1], Titles<->Cavalrylord in Kholin army, Groups<->Kholin army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Inadara , Profession<->Scholar, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Inkima , Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,,
Insah , Profession<->Ardent, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Isasik Shulin , Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,,
Ishal , Profession<->Ardent, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Ishnah , Abilities<->Lightweaver/ Shardbearer, Bonded With<->Motif[1], Groups<->Knights Radiant (Lightweavers)/ Unseen Court[2], Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Istow , Profession<->Highjudge, Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Ithi , Siblings<->Unnamed sister, Abilities<->Soulcaster, Profession<->Ardent, Religion<->Vorinism, Residence<->Kholinar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,
Ivanar Ruthar , Parents<->Highprince Ruthar/ Jayla, Siblings<->Relis Ruthar, Relatives<->Elit Ruthar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Ivis , Profession<->Ardent, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Jakamav , Abilities<->Shardbearer (Plate only/ formerly), Groups<->Roion army, Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Jam (Hearthstone) , Born<->c. 1151, Birthplace<->Hearthstone, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Jam (caravaneer) , Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,,
Jasalai , Groups<->Kholin army, Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Jasnah Kholin , Parents<->Gavilar/ Navani, Siblings<->Elhokar, Relatives<->Dalinar/ Adolin/ Renarin/ Gavinor, Ancestors<->Dalinar's father/ Sadees, Born<->1139[1][2], Abilities<->Elsecaller/ Shardbearer, Bonded With<->Ivory, Titles<->Queen of Alethkar, Profession<->Historian, Groups<->Knights Radiant (Elsecallers),,,,,,,,,,,,,
Veristitalians, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Jayla Ruthar , Spouse<->Ruthar, Children<->Relis/ Ivanar, Relatives<->Elit (nephew), Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Jeber , Died<->1175, Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Jenet , Profession<->Stablemaster, Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Jest , Siblings<->Jost, Birthplace<->Hearthstone, Ethnicity<->Alethi, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Jevena , Profession<->Ardent, Religion<->Vorinism, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Jor , Spouse<->Kryst, Profession<->Bouncer, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Jorna , Parents<->Loats, Profession<->Conscripted into Amaram's army, Groups<->Amaram's army, Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Jost , Siblings<->Jest, Born<->1152[1], Groups<->Amaram's army, Birthplace<->Hearthstone, Ethnicity<->Alethi, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,
Kadash , Profession<->Ardent,,,,,,,,,,,,,,,,,,,,,,
Soldier (former), Groups<->Dalinar's elites (former)/ Kholin army (former), Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Kaladin , Parents<->Lirin/ Hesina, Siblings<->Tien/ Oroden, Born<->Late 1153[1], Abilities<->Windrunner/ Shardbearer, Bonded With<->Sylphrena, Titles<->Highmarshall/ Captain of the Bridgemen/ Knight Radiant, Aliases<->Kaladin Stormblessed/ Bridgeboy, Profession<->Soldier/ bridgeman (formerly)/ bodyguard (formerly)/ apprentice surgeon (formerly), Groups<->Knights Radiant (Windrunners)/ Bridge Four/ Kholin army/ Amaram's army (formerly)/ Sadeas army (formerly)/ Kaladin's squad (formerly)/ Takers (formerly)/ Kholinar Wall Guard (formerly), Birthplace<->Hearthstone, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,
Kalanor , Relatives<->Loradar Vamah[2], Ancestors<->Sadees[1], Died<->Killed by Dalinar c. 1145[2], Abilities<->Shardbearer, Titles<->Highprince, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,
Kalishor , Abilities<->Shardbearer, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Kelerand , Profession<->Ardent and Swordmaster, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Khav , Born<->~1150s, Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Khem , Residence<->Hornhollow, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Koen , Abilities<->Windrunner[1], Groups<->Knights Radiant (Windrunner)/ Cobalt Guard (former)/ Bridge Four/ Kholin army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Kusiri , Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,,
Lady Alami , Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,,
Lalai , Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,,
Lamaril , Died<->c. Kakah 1173[1], Profession<->Bridge Captain, Groups<->Sadeas army, Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Lanacin , Abilities<->Shardbearer, Titles<->Lanacin the Surefooted, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Laral Roshone , Spouse<->Roshone[1], Parents<->Wistiow, Born<->1155[2], Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Leven , Profession<->Cobbler, Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Lirin , Spouse<->Hesina, Children<->Kaladin/ Tien/ Oroden, Profession<->Surgeon, Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Litima , Profession<->Scribe, Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Loats , Children<->Jorna, Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Loradar Vamah , Relatives<->Kalanor[2]/ Paladar[3], Ancestors<->Sadees[1], Died<->Killed by the Ghostbloods[4], Titles<->Highprince of Alethkar, Groups<->Sons of Honor[4], Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,
Lustow , Children<->Janala, Profession<->Cavalry officer, Groups<->Kholin army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Lyn , Abilities<->Windrunner[1], Groups<->Knights Radiant (Windrunner),,,,,,,,,,,,,,,,,,,,,
Bridge Four/ Kholin army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,,
Mabrow Pigherder , Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Malan , Died<->[1], Profession<->Captainlord, Groups<->Cobalt Guard, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Malop , Died<->Battle of the Tower/ Tanatashev 1173[1], Profession<->Bridgeman, Groups<->Bridge Four/ Sadeas army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Mara (Roshar) , Profession<->Apprentice surgeon, Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Marakal , Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Marf , Children<->Agil, Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Marks (Roshar) , Profession<->Cobalt Guard, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Matain , Titles<->Stormwarden, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Meleran Khal , Parents<->General Khal/ Teshav, Siblings<->Halam/ Aratin, Relatives<->Idani (cousin), Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Meridas Amaram , Relatives<->Sheler[1], Died<->Battle of Thaylen Field/ killed by Lunamor[2], Abilities<->Shardbearer, Bonded With<->Yelig-nar, Titles<->Highprince of Alethkar, Groups<->Sons of Honor/ Amaram's army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,
Miasal , Parents<->Harl, Born<->c. 1161, Died<->1166[1], Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Mil , Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Milp , Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Mishinah Bethab , Spouse<->Highprince Bethab[1], Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Moash , Ancestors<->Ana/ Da (grandparents), Abilities<->Shardbearer, Titles<->Vyre (He Who Quiets), Profession<->Soldier/ caravaneer (formerly)/ bridgeman (formerly)/ bodyguard (formerly), Groups<->Sadeas army (formerly),,,,,,,,,,,,,,,,,,
Bridge Four (formerly),,,,,,,,,,,,,,,,,,,,,,,
Kholin army (formerly),,,,,,,,,,,,,,,,,,,,,,,
Diagram (formerly),,,,,,,,,,,,,,,,,,,,,,,
Voidbringers, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,,
Mord , Born<->c. 1153[1], Birthplace<->Hearthstone, Ethnicity<->Alethi, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Muri , Profession<->Seamstress, Residence<->Revolar (former),,,,,,,,,,,,,,,,,,,,,
Kholinar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,,
Nacomb Gaval , Profession<->Captain in Kholin army, Groups<->Kholin army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Naget , Birthplace<->Hearthstone, Ethnicity<->Alethi, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Nakal , Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Nall , Profession<->Ardent, Religion<->Vorin, Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Nananav , Profession<->Mistress of Rockfall, Residence<->Kholinar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Natam , Abilities<->Windrunner[1], Groups<->Knights Radiant (Windrunner)/ Bridge Four/ Sadeas army (formerly)/ Kholin army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Natir , Spouse<->Alaxia, Profession<->Head steward, Birthplace<->Dalilak, Residence<->Hearthstone, Ethnicity<->Alethi, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,
Navani Kholin , Spouse<->Gavilar (deceased)/ Dalinar, Children<->Jasnah/ Elhokar, Descendants<->Gavinor, Born<->c. 1120[1][2], Abilities<->Bondsmith, Bonded With<->the Sibling, Titles<->Queen mother of Alethkar,,,,,,,,,,,,,,,,
Queen of Urithiru[3],,,,,,,,,,,,,,,,,,,,,,,
Queen consort of Alethkar (former),,,,,,,,,,,,,,,,,,,,,,,
The Mother of Machines[4],,,,,,,,,,,,,,,,,,,,,,,
Queen Blackthorn[5],,,,,,,,,,,,,,,,,,,,,,,
Voice of Lights[6], Skills<->Scholar/ Artifabrian, Groups<->Knights Radiant (Bondsmiths), Residence<->Urithiru, Ethnicity<->Alethi, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Niter , Died<->Battle of the Tower/ 1173[1], Titles<->Head of the Cobalt Guard, Profession<->Soldier, Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Noril , Relatives<->Cressa (niece), Ethnicity<->Alethi, Nationality<->Alethi, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Noromin , Died<->Battle of Kholinar/ 1174[1], Aliases<->Noro, Profession<->Lieutenant, Groups<->Kholinar Wall Guard, Residence<->Kholinar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,
Oroden , Parents<->Lirin/ Hesina, Siblings<->Kaladin/ Tien, Relatives<->Aesudan/[1] Gavinor, Born<->1172 or 1173[2], Birthplace<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,
Paladar , Relatives<->Loradar Vamah, Residence<->Revolar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Perethom , Died<->Battle of the Tower[1], Profession<->Infantrylord in Kholin army, Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Ral , Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Ralinor , Profession<->King's Guard, Groups<->Kholin army/ King's Guard, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Relina , Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Rembrinor , Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,,
Renarin Kholin , Parents<->Dalinar/ Evi, Siblings<->Adolin, Relatives<->Gavilar/ Jasnah/ Elhokar/ Toh/ Gavinor, Ancestors<->Dalinar's father/ Sadees, Born<->1154[1], Abilities<->Truthwatcher/ Voidbinder[2]/ Shardbearer, Bonded With<->Glys, Titles<->Son of Thorns[3], Groups<->Knights Radiant (Truthwatchers),,,,,,,,,,,,,,
Bridge Four/ Kholin army, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Resi , Abilities<->Shardbearer, Titles<->Brightlord/ Royal Defender, Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Rial , Abilities<->Radiant squire for Order of Windrunners, Groups<->Bridge Thirteen/ Sadeas army (formerly)/ Kholin army, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Rillir Roshone , Parents<->Brightlord Roshone, Born<->1152[citation needed], Died<->1168[1], Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Rind , Profession<->Head Quartermaster in Kholin army, Groups<->Kholin army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Rine Hatham , Relatives<->Highprince Hatham, Titles<->Highlord, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Ristina , Profession<->Scribe, Residence<->Urithiru, Ethnicity<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Roion , Children<->Son, Ancestors<->Sadees[1], Died<->Battle of Narak - Ishishach 1173[2], Titles<->Highprince of Alethkar, Groups<->Roion army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,
Roion's son , Parents<->Roion, Ancestors<->Sadees[1], Titles<->Highprince of Alethkar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Rushu , Profession<->Scholar/ Artifabrian/ and Ardent, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Rust Elthal , Abilities<->Shardbearer, Profession<->Officer in Kholin army, Groups<->Kholin army, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Ruthar , Spouse<->Jayla, Children<->Relis/ Ivanar[1], Relatives<->Elit, Ancestors<->Sadees[2], Abilities<->Shardbearer, Titles<->Highprince of Alethkar, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,
Sadees , Descendants<->Alethi highprinces, Abilities<->Shardbearer, Titles<->King of Alethkar/ The Sunmaker, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Salinor Eved , Abilities<->Shardbearer (formerly), Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Sani , Born<->c. 1148[1], Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Seland , Residence<->Kholinar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Serugiadis , Abilities<->Shardbearer, Groups<->Kholin army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Shaday , Titles<->Highlord of Alethkar, Groups<->Kholin army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Sheler , Relatives<->Meridas Amaram (cousin)[1], Profession<->Military commander, Groups<->Amaram's army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Shim , Profession<->Military scout, Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Sidin , Profession<->Palace Guard, Groups<->Kholinar Palace Guard, Residence<->Kholinar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Sivi , Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Taka , Profession<->Soldier, Groups<->Kholin army/ King's Guard (formerly), Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Talanan , Profession<->Soldier, Groups<->Sebarial army, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Talanor , Abilities<->Shardbearer, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Taleb , Children<->Caull, Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Tanalan , Parents<->Father/ mother, Born<->1135[1], Died<->1163[2], Residence<->Rathalas, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Tanalan's father , Spouse<->Wife, Children<->Tanalan, Died<->1141[1], Abilities<->Shardbearer, Residence<->Rathalas, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,
Tanalan's mother , Spouse<->Husband, Children<->Tanalan, Residence<->Rathalas, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Tarah , Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,,
Tarn , Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Taselin , Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,,
Tearim , Abilities<->Shardbearer, Profession<->Captain of the King's Guard, Groups<->Kholin army/ King's Guard, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Teft , Died<->Vevishev 1175[1], Abilities<->Windrunner/ Shardbearer, Bonded With<->Phendorana, Groups<->Knights Radiant (Windrunner)/ Bridge Four/ Envisagers (formerly)/ Sadeas army (formerly)/ Kholin army, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,
Teleb , Spouse<->Kalami, Died<->Ishishach 1173[1], Abilities<->Shardbearer, Profession<->Officer in Kholin army, Groups<->Dalinar's elites[2] (former)/ Kholin army, Nationality<->Alethi[2], World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,
Tenathar , Residence<->Kholinar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Teofil , Died<->Occupation of Urithiru/ 1175[1], Titles<->Battalionlord in the Kholin army, Profession<->Soldier, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Terith , Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
